"customer_id","customer_fullname","email","activebool","payment_date","latest_purchase"
163,"Cathy Spencer","cathy.spencer@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","37"
163,"Cathy Spencer","cathy.spencer@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","38"
162,"Lauren Hudson","lauren.hudson@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","39"
155,"Gail Knight","gail.knight@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","40"
155,"Gail Knight","gail.knight@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","41"
152,"Alicia Mills","alicia.mills@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","42"
142,"April Burns","april.burns@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","43"
135,"Juanita Mason","juanita.mason@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","44"
120,"Sylvia Ortiz","sylvia.ortiz@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","45"
115,"Wendy Harrison","wendy.harrison@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","46"
114,"Grace Ellis","grace.ellis@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","47"
111,"Carmen Owens","carmen.owens@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","48"
108,"Tracy Cole","tracy.cole@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","49"
107,"Florence Woods","florence.woods@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","50"
107,"Florence Woods","florence.woods@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","51"
101,"Peggy Myers","peggy.myers@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","52"
100,"Robin Hayes","robin.hayes@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","53"
99,"Emily Diaz","emily.diaz@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","54"
394,"Chris Brothers","chris.brothers@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","55"
388,"Craig Morrell","craig.morrell@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","56"
374,"Jeremy Hurtado","jeremy.hurtado@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","57"
373,"Louis Leone","louis.leone@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","58"
369,"Fred Wheat","fred.wheat@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","59"
366,"Brandon Huey","brandon.huey@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","60"
361,"Lawrence Lawton","lawrence.lawton@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","61"
361,"Lawrence Lawton","lawrence.lawton@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","62"
359,"Willie Markham","willie.markham@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","63"
355,"Terry Grissom","terry.grissom@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","64"
354,"Justin Ngo","justin.ngo@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","65"
354,"Justin Ngo","justin.ngo@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","66"
352,"Albert Crouse","albert.crouse@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","67"
349,"Joe Gilliland","joe.gilliland@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","68"
337,"Jerry Jordon","jerry.jordon@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","69"
336,"Joshua Mark","joshua.mark@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","70"
335,"Gregory Mauldin","gregory.mauldin@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","71"
334,"Raymond Mcwhorter","raymond.mcwhorter@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","72"
330,"Scott Shelley","scott.shelley@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","73"
327,"Larry Thrasher","larry.thrasher@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","74"
324,"Gary Coy","gary.coy@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","75"
317,"Edward Baugh","edward.baugh@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","76"
315,"Kenneth Gooden","kenneth.gooden@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","77"
300,"John Farnsworth","john.farnsworth@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","78"
296,"Ramona Hale","ramona.hale@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","79"
295,"Daisy Bates","daisy.bates@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","80"
287,"Becky Miles","becky.miles@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","81"
284,"Sonia Gregory","sonia.gregory@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","82"
284,"Sonia Gregory","sonia.gregory@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","83"
282,"Jenny Castro","jenny.castro@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","84"
279,"Dianne Shelton","dianne.shelton@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","85"
274,"Naomi Jennings","naomi.jennings@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","86"
269,"Cassandra Walters","cassandra.walters@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","87"
269,"Cassandra Walters","cassandra.walters@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","88"
267,"Margie Wade","margie.wade@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","89"
267,"Margie Wade","margie.wade@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","90"
91,"Lois Butler","lois.butler@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","91"
87,"Wanda Patterson","wanda.patterson@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","92"
83,"Louise Jenkins","louise.jenkins@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","93"
80,"Marilyn Ross","marilyn.ross@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","94"
75,"Tammy Sanders","tammy.sanders@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","95"
75,"Tammy Sanders","tammy.sanders@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","96"
75,"Tammy Sanders","tammy.sanders@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","97"
73,"Beverly Brooks","beverly.brooks@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","98"
69,"Judy Gray","judy.gray@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","99"
64,"Judith Cox","judith.cox@sakilacustomer.org",True,"2007-05-14 13:44:29.996577","100"
